Locus_tag	caec-3-291	caec-3-292	caec-3-293	caec-3-294	caec-3-295	caec-4-291	caec-4-292	caec-4-294	caec-6-141	caec-8-141	caec-8-142	caec-8-143	Bw1	Bw2	Bw3	Class_curated	Subsystem Name	Product PATRIC											
WCP94_000001	8836	5530	839	5236	3927	2067	876	2632	1198	422	2748	886	635	1680	1281	#N/A	#N/A	#N/A											
WCP94_000002	15591	9958	1052	7741	5481	3764	1559	3540	2488	1091	4673	1409	1365	3163	2809	#N/A	#N/A	hypothetical protein											
WCP94_000003	7802	4466	464	3902	1880	1976	790	2291	1221	551	2200	682	840	2314	1770	"Cell Envelope, Capsule and Slime layer"	Biosynthesis of Arabinogalactan in Mycobacteria	UDP-galactopyranose mutase (EC 5.4.99.9)											
WCP94_000004	3122	2780	318	3776	2626	767	423	2086	558	338	1233	270	958	2020	1618	#N/A	#N/A	Capsular polysaccharide export system protein KpsC											
WCP94_000005	798	872	117	1661	1198	171	124	644	117	88	343	73	203	394	378	#N/A	#N/A	Capsular polysaccharide export system protein KpsS											
WCP94_000006	68	119	22	160	95	3	8	70	18	9	50	5	16	55	40	#N/A	#N/A	#N/A											
WCP94_000007	26	21	2	40	25	4	2	18	5	5	13	4	4	13	18	#N/A	#N/A	#N/A											
WCP94_000008	490	220	24	572	573	126	48	226	55	43	318	36	15656	29159	27455	#N/A	#N/A	"Transcriptional regulator, GntR family"											
WCP94_000009	715	495	85	759	606	140	163	297	89	57	377	90	548	1127	925	#N/A	#N/A	peptidase M20											
WCP94_000010	81	51	7	49	49	14	15	28	10	7	31	7	269	481	506	#N/A	#N/A	#N/A											
WCP94_000011	109	57	12	160	141	41	79	352	8	34	147	38	864	1575	1238	#N/A	#N/A	cation transport protein											
WCP94_000012	36	35	3	45	31	11	3	57	2	5	16	8	71	127	115	#N/A	#N/A	#N/A											
WCP94_000013	261	193	14	138	129	107	53	387	41	48	318	54	5016	9159	8755	#N/A	#N/A	integrase family protein											
WCP94_000014	0	0	0	0	2	0	0	0	0	0	0	0	0	7	8	#N/A	#N/A	#N/A											
WCP94_000015	1866	976	130	930	1042	358	245	926	139	102	534	236	1600	2642	2593	#N/A	#N/A	"Transcriptional regulator, MarR family"											
WCP94_000016	144	65	14	223	165	16	47	192	15	18	72	22	334	627	474	#N/A	#N/A	putative sodium/glutamate symporter											
WCP94_000017	79	57	22	213	185	15	24	145	18	21	28	28	146	243	202	#N/A	#N/A	#N/A											
WCP94_000018	7	3	0	15	4	0	1	10	0	0	3	0	10	15	19	#N/A	#N/A	#N/A											
WCP94_000019	108	188	19	168	142	36	19	45	34	12	52	28	1201	2035	1913	#N/A	#N/A	#N/A											
WCP94_000020	158	171	47	243	251	23	40	103	34	23	64	32	890	1808	1465	#N/A	#N/A	"Transcriptional regulator, IclR family"											
WCP94_000021	6	0	0	13	2	4	0	5	4	3	11	0	65	106	87	#N/A	#N/A	#N/A											
WCP94_000022	191	82	10	48	106	32	35	72	14	10	65	53	278	570	443	#N/A	#N/A	hypothetical protein											
WCP94_000023	169	53	6	25	24	32	21	53	1	8	57	7	57	91	60	#N/A	#N/A	RidA/YER057c/UK114 superfamily protein											
WCP94_000024	442	271	48	165	269	90	106	133	34	29	203	44	147	403	302	#N/A	#N/A	Opine oxidase subunit B											
WCP94_000025	101	35	4	24	25	27	27	37	1	8	38	14	41	52	56	#N/A	#N/A	SoxA protein											
WCP94_000026	484	294	37	172	386	102	92	168	21	31	178	58	204	375	310	#N/A	#N/A	Opine oxidase subunit A											
WCP94_000027	331	93	34	106	134	84	65	131	23	16	212	30	205	322	275	#N/A	#N/A	Na+/solute symporter											
WCP94_000028	17	17	3	20	8	0	2	10	1	0	6	7	25	40	32	#N/A	#N/A	hypothetical protein											
WCP94_000029	21	23	6	34	51	0	5	21	5	0	1	2	70	111	72	#N/A	#N/A	hypothetical protein											
WCP94_000030	1628	1533	156	1155	1129	293	307	403	244	134	572	255	5203	8271	7102	#N/A	#N/A	peptidase M20											
WCP94_000031	145	109	10	145	127	22	34	69	25	9	62	24	203	342	237	#N/A	#N/A	hypothetical protein											
WCP94_000032	43	42	4	40	36	5	1	17	2	4	19	3	149	330	288	#N/A	#N/A	#N/A											
WCP94_000033	1655	2296	772	9530	3917	187	95	268	305	152	213	174	216	552	443	#N/A	#N/A	Putative inner membrane protein											
WCP94_000034	90	117	37	397	225	35	29	36	16	12	51	38	31	92	81	#N/A	#N/A	Hypothetical protein HNE 2486											
WCP94_000035	15	4	2	17	23	8	6	10	0	4	18	6	9	9	4	#N/A	#N/A	#N/A											
WCP94_000036	232	187	48	344	218	87	95	179	54	42	315	110	124	208	177	#N/A	#N/A	hypothetical protein											
WCP94_000037	33	29	14	52	36	7	14	32	5	12	74	22	56	91	95	#N/A	#N/A	hypothetical protein											
WCP94_000038	12	9	1	11	17	8	4	23	0	4	14	2	8	14	19	#N/A	#N/A	#N/A											
WCP94_000039	274	248	18	169	194	65	63	102	47	18	148	42	214	432	352	#N/A	#N/A	"Two-component transcriptional response regulator, OmpR family"											
WCP94_000040	522	604	66	311	374	132	174	232	86	76	491	145	123	307	200	#N/A	#N/A	hypothetical protein											
